施設名,住所,電話番号(代表),geocodes
まこと保育園 分園,〒274-0063　船橋市習志野台2-73-9,電話：047-465-0230 FAX：047-465-0230,"{'northeast': {'lat': 35.7262371802915, 'lng': 140.0512464302915}, 'southwest': {'lat': 35.72353921970851, 'lng': 140.0485484697085}}"
ローゼンかみやま保育園,〒273-0046　船橋市上山町2-288-1,電話：047-406-6010 FAX：047-401-6745,"{'northeast': {'lat': 35.7339109802915, 'lng': 139.9758316802915}, 'southwest': {'lat': 35.7312130197085, 'lng': 139.9731337197085}}"
こでまり保育園,〒273-0047　船橋市藤原2-2-22,電話：047-703-7700 FAX：047-703-7701,"{'northeast': {'lat': 35.7329668802915, 'lng': 139.9688485802915}, 'southwest': {'lat': 35.7302689197085, 'lng': 139.9661506197085}}"
はさま保育園,〒274-0822　船橋市飯山満町3-1512-1,電話：047-467-1999 FAX：047-401-6878,"{'northeast': {'lat': 35.7130784802915, 'lng': 140.0350775802915}, 'southwest': {'lat': 35.7103805197085, 'lng': 140.0323796197085}}"
美しが丘保育園,〒274-0060　船橋市坪井東5-18-30,電話：047-457-8806 FAX：047-457-8807,"{'northeast': {'lat': 35.7293391802915, 'lng': 140.0638032802915}, 'southwest': {'lat': 35.7266412197085, 'lng': 140.0611053197085}}"
船橋ピコレール保育園,〒273-0003　船橋市宮本2-6-26,電話：047-425-5057 FAX：047-425-5057,"{'northeast': {'lat': 35.6960769802915, 'lng': 139.9924141802915}, 'southwest': {'lat': 35.6933790197085, 'lng': 139.9897162197085}}"
なの花保育園,〒274-0822　船橋市飯山満町1-967-1,電話：047-405-9512 FAX：047-405-9513,"{'northeast': {'lat': 35.71034238029149, 'lng': 140.0171001802915}, 'southwest': {'lat': 35.7076444197085, 'lng': 140.0144022197085}}"
ベル・ナーサリー・アスール,〒273-0021　船橋市海神3-30-1,電話：047-432-1717 FAX：047-432-1718,"{'northeast': {'lat': 35.7107965802915, 'lng': 139.9791662802915}, 'southwest': {'lat': 35.7080986197085, 'lng': 139.9764683197085}}"
たちばな保育園,〒274-0825　船橋市前原西2-24-10（代表）,電話：047-470-3745 FAX：047-470-3746,"{'northeast': {'lat': 35.69530758029149, 'lng': 140.0255800802915}, 'southwest': {'lat': 35.6926096197085, 'lng': 140.0228821197085}}"
南船橋保育園,〒273-0013　船橋市若松2-3-15,電話：047-401-5115 FAX：047-401-5116,"{'northeast': {'lat': 35.6804808802915, 'lng': 139.9985106802915}, 'southwest': {'lat': 35.6777829197085, 'lng': 139.9958127197085}}"
高根台グリーンキディ保育園,〒274-0065　船橋市高根台2-10-5,電話：047-465-5900 FAX：047-465-5899,"{'northeast': {'lat': 35.7338983802915, 'lng': 140.0347058802915}, 'southwest': {'lat': 35.7312004197085, 'lng': 140.0320079197085}}"
アポロンの丘,〒274-0063　船橋市習志野台2－59－22,電話：047-404-5427 FAX：047-404-5428,"{'northeast': {'lat': 35.72895328029149, 'lng': 140.0486181802915}, 'southwest': {'lat': 35.7262553197085, 'lng': 140.0459202197085}}"
リサ保育園,〒273-0024　船橋市海神町南1-728,電話：047-404-5621 FAX：047-404-5631,"{'northeast': {'lat': 35.7047849802915, 'lng': 139.9618124802915}, 'southwest': {'lat': 35.7020870197085, 'lng': 139.9591145197085}}"
シーガル保育園,〒274-0822　船橋市飯山満町2-1007-1,電話：047-404-7611 FAX：047-404-7612,"{'northeast': {'lat': 35.71480298029149, 'lng': 140.0228429802915}, 'southwest': {'lat': 35.7121050197085, 'lng': 140.0201450197085}}"
敬心ゆめ保育園,〒273-0002　船橋市東船橋3-15-8,電話：047-411-5725 FAX：047-424-7373,"{'northeast': {'lat': 35.70207818029149, 'lng': 140.0103900802915}, 'southwest': {'lat': 35.69938021970849, 'lng': 140.0076921197085}}"
ゆいまーる保育園,〒273-0864　船橋市北本町1-12-8,電話：047-424-7711 FAX：047-424-7713,"{'northeast': {'lat': 35.71426888029149, 'lng': 139.9829653802915}, 'southwest': {'lat': 35.71157091970849, 'lng': 139.9802674197085}}"
ナーサリー木の実,〒274-0060　船橋市坪井東4-7-60,電話：047-497-8457 FAX:047-497-8458,"{'northeast': {'lat': 35.72580608029151, 'lng': 140.0639353802915}, 'southwest': {'lat': 35.72310811970851, 'lng': 140.0612374197085}}"
丸山旭保育園,〒273-0048　船橋市丸山5-33-25,電話：047-438-3383 FAX：047-438-3384,"{'northeast': {'lat': 35.7444570802915, 'lng': 139.9949347802915}, 'southwest': {'lat': 35.7417591197085, 'lng': 139.9922368197085}}"
共同保育所 子どもの家,〒273-0005　船橋市本町5-15-9,電話：047-423-1770 FAX：047-460-3700,"{'northeast': {'lat': 35.70384313029149, 'lng': 139.9914992802915}, 'southwest': {'lat': 35.70114516970849, 'lng': 139.9888013197085}}"
あい・あい保育園 宮本園,〒273-0003　船橋市宮本3-9-4,電話：047-401-0271 FAX：047-401-0275,"{'northeast': {'lat': 35.6919219802915, 'lng': 139.9961326802915}, 'southwest': {'lat': 35.6892240197085, 'lng': 139.9934347197085}}"
あまねの杜保育園,〒273-0044　船橋市行田2-9-10,電話：047-401-5011 FAX：047-401-5021,"{'northeast': {'lat': 35.72412618029149, 'lng': 139.9734761802915}, 'southwest': {'lat': 35.72142821970849, 'lng': 139.9707782197085}}"
東船橋ちとせ保育園,〒273-0002　船橋市東船橋1-16-25,電話：047-423-5717 FAX：047-423-5718,"{'northeast': {'lat': 35.7035542, 'lng': 140.0112155}, 'southwest': {'lat': 35.6894305, 'lng': 139.9974705}}"
船橋どろんこ保育園,〒273-0005　船橋市本町6-8-9,電話：047-429-8140 FAX：047-429-8141,"{'northeast': {'lat': 35.7068625802915, 'lng': 139.9874831802915}, 'southwest': {'lat': 35.7041646197085, 'lng': 139.9847852197085}}"
グローバルキッズ コトニア西船橋園,〒273-0036　船橋市東中山1-19-13,電話：047-336-6661 FAX：047-318-3317,"{'northeast': {'lat': 35.7135241802915, 'lng': 139.9499297802915}, 'southwest': {'lat': 35.7108262197085, 'lng': 139.9472318197085}}"
船橋ハーモニー保育園,〒274-0824　船橋市前原東5-8-8,電話：047-429-8802 FAX：047-429-8801,"{'northeast': {'lat': 35.7049938802915, 'lng': 140.0348055802915}, 'southwest': {'lat': 35.7022959197085, 'lng': 140.0321076197085}}"
ミアヘルサ保育園ひびき新船橋,〒273-0021　船橋市海神3-26-30,電話：047-401-3875 FAX：047-401-3876,"{'northeast': {'lat': 35.7109729802915, 'lng': 139.9806749802915}, 'southwest': {'lat': 35.7082750197085, 'lng': 139.9779770197085}}"
えがおの森保育園・にしふなばし,〒273-0033　船橋市本郷町430,電話：047-332-0581 FAX：047-332-0582,"{'northeast': {'lat': 35.70915108029149, 'lng': 139.9560664802915}, 'southwest': {'lat': 35.7064531197085, 'lng': 139.9533685197085}}"
薬園台・学びの保育園,〒274-0077　船橋市薬円台5-6-7,電話：047-402-4680 FAX：047-402-4681,"{'northeast': {'lat': 35.71159228029151, 'lng': 140.0404465802915}, 'southwest': {'lat': 35.70889431970851, 'lng': 140.0377486197085}}"
あい・あい保育園 北習志野園,〒274-0815　船橋市西習志野3-27-7,電話：047-404-7771 FAX：047-404-7772,"{'northeast': {'lat': 35.7227244802915, 'lng': 140.0430078802915}, 'southwest': {'lat': 35.7200265197085, 'lng': 140.0403099197085}}"
船橋光の子保育園,〒273-0048　船橋市丸山1-3-3,電話：047-406-7055 FAX：047-406-7056,"{'northeast': {'lat': 35.7449537802915, 'lng': 139.9925951802915}, 'southwest': {'lat': 35.7422558197085, 'lng': 139.9898972197085}}"
ブルゥミング保育園,〒273-0003　船橋市宮本1-8-11,電話：047-409-9996 FAX：047-409-9997,"{'northeast': {'lat': 35.7009088802915, 'lng': 139.9931166802915}, 'southwest': {'lat': 35.6982109197085, 'lng': 139.9904187197085}}"
そらまめ保育園 新船橋,〒273-0864　船橋市北本町1-17-22,電話：047-455-8682 FAX：047-455-8683,"{'northeast': {'lat': 35.7112962802915, 'lng': 139.9841185802915}, 'southwest': {'lat': 35.7085983197085, 'lng': 139.9814206197085}}"
グリュック保育園,〒273-0002　船橋市東船橋1-26-10,電話：047-424-3741 FAX:047-455-3457,"{'northeast': {'lat': 35.7035542, 'lng': 140.0112155}, 'southwest': {'lat': 35.6894305, 'lng': 139.9974705}}"
あい・あい保育園 船橋法典園,〒273-0046　船橋市上山町1-223-4,電話：047-382-5357 FAX：047-382-5358,"{'northeast': {'lat': 35.7325228802915, 'lng': 139.9716718802915}, 'southwest': {'lat': 35.72982491970851, 'lng': 139.9689739197085}}"
あい・あい保育園 西船橋園,〒273-0031　船橋市西船5-26-25　2・3階,電話：047-307-9202 FAX：047-307-9203,"{'northeast': {'lat': 35.7112218802915, 'lng': 139.9583444802915}, 'southwest': {'lat': 35.7085239197085, 'lng': 139.9556465197085}}"
船橋法典すきっぷ保育園,〒273-0047　船橋市藤原1-3-10,電話：047-382-5917 FAX：047-382-5918,"{'northeast': {'lat': 35.73071918029149, 'lng': 139.9649303802915}, 'southwest': {'lat': 35.72802121970849, 'lng': 139.9622324197085}}"
ゆめのもり保育園,〒274-0825　船橋市前原西7-1-19,電話：047-406-4700 FAX:047-406-4702,"{'northeast': {'lat': 35.6991970802915, 'lng': 140.0263157802915}, 'southwest': {'lat': 35.6964991197085, 'lng': 140.0236178197085}}"
塚田ここわ保育園,〒273-0864　船橋市北本町2-41-20,電話：047-407-0243 FAX：047-407-0244,"{'northeast': {'lat': 35.7205096302915, 'lng': 139.9824847302915}, 'southwest': {'lat': 35.7178116697085, 'lng': 139.9797867697085}}"
にじいろ保育園 薬円台,〒274-0077　船橋市薬円台1-24-1,電話：047-402-4033 FAX：047-402-4034,"{'northeast': {'lat': 35.70916328029149, 'lng': 140.0444987802915}, 'southwest': {'lat': 35.70646531970849, 'lng': 140.0418008197085}}"
まなびの森保育園 飯山満,〒274-0823　船橋市二宮1-71-30,電話：047-466-7788 FAX：047-466-7788,"{'northeast': {'lat': 35.7124201802915, 'lng': 140.0287545802915}, 'southwest': {'lat': 35.7097222197085, 'lng': 140.0260566197085}}"
船橋どろんこ保育園 分園,〒273-0005　船橋市本町5-18-25,電話：047-409-2871 FAX：047-409-2872,"{'northeast': {'lat': 35.7027835802915, 'lng': 139.9906083802915}, 'southwest': {'lat': 35.7000856197085, 'lng': 139.9879104197085}}"
太陽の子 塚田保育園,〒273-0043　船橋市行田町352-5,電話：047-406-6006 FAX：047-406-6007,"{'northeast': {'lat': 35.72467958029149, 'lng': 139.9825422802915}, 'southwest': {'lat': 35.7219816197085, 'lng': 139.9798443197085}}"
りんごのき保育園,〒273-0002　船橋市東船橋1-24-15　グレイス東船橋1階,電話：047-411-8054 FAX：047-413-0666,"{'northeast': {'lat': 35.69970148029149, 'lng': 140.0054651802915}, 'southwest': {'lat': 35.6970035197085, 'lng': 140.0027672197085}}"
新船橋ここわ保育園,〒273-0021　船橋市海神5-29-61,電話：047-402-6431 FAX：047-402-6451,"{'northeast': {'lat': 35.7126482802915, 'lng': 139.9716293802915}, 'southwest': {'lat': 35.7099503197085, 'lng': 139.9689314197085}}"
西船橋すきっぷ保育園,〒273-0031　船橋市西船4-12-20,電話：047-401-6251 FAX：047-401-6252,"{'northeast': {'lat': 35.7115753802915, 'lng': 139.9611205802915}, 'southwest': {'lat': 35.7088774197085, 'lng': 139.9584226197085}}"
ラブキッズ,〒273-0044　船橋市行田3-2-21,電話：047-429-1212 FAX：047-429-1414,"{'northeast': {'lat': 35.7198022802915, 'lng': 139.9720500802915}, 'southwest': {'lat': 35.7171043197085, 'lng': 139.9693521197085}}"
まなびの森保育園 東船橋,〒273-0002　船橋市東船橋1-18-12,電話：047-411-1155 FAX：047-411-1155,"{'northeast': {'lat': 35.69953638029151, 'lng': 140.0035856802915}, 'southwest': {'lat': 35.69683841970851, 'lng': 140.0008877197085}}"
たんぽぽ西船橋駅前保育園,〒273-0025　船橋市印内町631-1,電話：047-420-3017 FAX：047-420-3018,"{'northeast': {'lat': 35.70637608029149, 'lng': 139.9589623802915}, 'southwest': {'lat': 35.7036781197085, 'lng': 139.9562644197085}}"
ゆめわかば保育園,〒274-0824　船橋市前原東2-18-41,電話：047-406-4421 FAX：047-406-4422,"{'northeast': {'lat': 35.6991772802915, 'lng': 140.0324538802915}, 'southwest': {'lat': 35.6964793197085, 'lng': 140.0297559197085}}"
たんぽぽ海神町南保育園,〒273-0024　船橋市海神町南1‐1428‐20,電話：047-495-6200 FAX：047-495-6201,"{'northeast': {'lat': 35.70351598029151, 'lng': 139.9644510802915}, 'southwest': {'lat': 35.70081801970851, 'lng': 139.9617531197085}}"
船橋くれよん保育園,〒274-0060　船橋市坪井東2‐13－27,電話：047-460-9926 FAX：047-460-9928,"{'northeast': {'lat': 35.7306618802915, 'lng': 140.0613143802915}, 'southwest': {'lat': 35.7279639197085, 'lng': 140.0586164197085}}"
Milky Way International Nursery School 新船橋校,〒273-0865　船橋市夏見3-20-11,電話：047-455-3225 FAX：047-455-3226,"{'northeast': {'lat': 35.7149534802915, 'lng': 139.9878875302915}, 'southwest': {'lat': 35.71225551970851, 'lng': 139.9851895697085}}"
西船橋雲母保育園,〒273-0033　船橋市本郷町456-1,電話：047-709-4300 FAX：047-709-4301,"{'northeast': {'lat': 35.7095330802915, 'lng': 139.9550078802915}, 'southwest': {'lat': 35.7068351197085, 'lng': 139.9523099197085}}"
